in_local_head,local_exists,local_head_sha256,local_sha256,path,status,upstream_differs_from_local_head,upstream_object,upstream_sha256,upstream_text_differs_from_local_head,upstream_type,working_differs_from_head,working_text_differs_from_head
False,,,e02d07d59451341667b527b19a46495dcfff318e597598f951d730236b1286de,tools/fpga_lifecycle/test/vendor/curses.h,local_only,,,,,,,
False,,,f8e506a0e75720d5b1eb8cbc1386ec8f355ae1354c17f18643e51a1e8ebab271,tools/fpga_lifecycle/test/vendor/curses-64.h,local_only,,,,,,,
False,,,0847bbf183e2ecb83c6810b4a77abdf2f73ba6c27e14cae44b585a03315530ee,tools/fpga_lifecycle/src/fpga_handler.cpp,local_only,,,,,,,
False,,,2fa0a7b291fe10613496729abddba112923862ff0ee8fd0a5b2225ebfb18612c,tools/fpga_lifecycle/src/fpga_server.cpp,local_only,,,,,,,
False,,,bd3362d2ea0338fa06fa20a9ce3f350733afa3a94a14f560af7cbcf19242687e,tools/fpga_lifecycle/src/console.cpp,local_only,,,,,,,
False,,,806e0fdf5bf217e84c02e7d56bef73a64d6ef700ca62a05317f1b371b1917cb8,tools/fpga_lifecycle/baseline/fpga_handler.cpp,local_only,,,,,,,
False,,,c67c2b50470a11af2b48f648df5d3bb8159405975089a24bb19ae82add045e1d,tools/fpga_lifecycle/baseline/fpga_handler.hpp,local_only,,,,,,,
False,,,ad008f2a61cf0f0bc4a364c5febf7e17b8c1355d84aec797d0dcace907d9c373,tools/fpga_lifecycle/baseline/fpga_server.cpp,local_only,,,,,,,
False,,,d617c6a8425d4622b4ae05d50e3c5c462c9f825803703f0a48c984165272edfe,tools/fpga_lifecycle/baseline/fpga_server.hpp,local_only,,,,,,,
False,,,e2438c64480bb10d0a751ac5625aeb29b0bb7fa6af44054a2c7c7e689a503a66,tools/fpga_lifecycle/baseline/console.cpp,local_only,,,,,,,
False,,,c8bece003d82d2d2914424ddedc99eeb772583703bdc79d096087e38f3d27b3a,tools/fpga_lifecycle/baseline/console.hpp,local_only,,,,,,,
False,,,cf20bea6ffc963b6250cc5afdfb6285d252cc2702c16baa52ffaf73e11b4c36b,tools/fpga_lifecycle/include/fpga_handler.hpp,local_only,,,,,,,
False,,,d1095485aeb45b12bbd9a5aa613bec2941cebb207f3ee4a1cbca627560478ebb,tools/fpga_lifecycle/include/fpga_server.hpp,local_only,,,,,,,
False,,,b04bc0e4df97aab0fdb8f9854affec2972c25844dafac8593a68a77683d0b421,tools/fpga_lifecycle/include/console.hpp,local_only,,,,,,,
False,,,ac36e1a4996757566d23ca961909b188bb0d745b3649699eab075596c534d771,tools/fpga_lifecycle/include/driver_lifecycle.hpp,local_only,,,,,,,
